sample_id,source_dataset,task_category,key_missing_facts,expected_clarification_questions,expected_answer_points,risk_points,expected_behavior,human_review_note
L-001,self_authored_core_40,consultation,录用条件是否提前告知；考核记录；解除通知；劳动合同与试用期约定；工资和工作年限,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,不能直接判断违法解除；需先追问录用条件和证据；若公司无法证明，才可能主张违法解除。,证据不足；仲裁时效；地区裁判差异；过度结论,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,抽样复核；必要时校准 rubric。
L-002,self_authored_core_40,consultation,入职日期；工资记录；考勤；是否签过协议；社保；离职状态,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,先证明事实劳动关系，再判断双倍工资期间和时效；不能笼统承诺全部支持。,事实劳动关系证明；仲裁时效；用工性质争议,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,抽样复核；必要时校准 rubric。
L-003,self_authored_core_40,consultation,加班时间；单位安排证据；考勤记录；工资单；是否调休,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,加班费主张要证明单位安排和实际加班；先固定考勤、聊天、任务记录和工资单。,证据不足；自愿加班与安排加班区分；仲裁时效,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,抽样复核；必要时校准 rubric。
L-004,self_authored_core_40,consultation,合同岗位薪资；调岗理由；书面通知；是否协商；新岗位差异,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,用人单位重大变更通常需合理依据和协商；需避免直接建议拒不到岗。,旷工风险；证据留存；沟通方式；仲裁时效,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,抽样复核；必要时校准 rubric。
L-005,self_authored_core_40,consultation,签约主体；接单管理规则；报酬结算；事故证明；保险保障,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,需识别劳动/劳务/保险/侵权多路径，不能直接承诺工伤赔偿。,关系认定不确定；保险条款；证据复杂；高风险人审,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,高风险或 Judge 低置信时进入人工复核；可用于 gold sample 校准。
L-006,self_authored_core_40,consultation,聊天报价；材料单；验收交付；工人雇佣管理；甲方主体,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,拆分工程款追偿与工人工资责任，用证据证明施工和验收。,证据链不足；工资支付风险；资质问题,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,高风险或 Judge 低置信时进入人工复核；可用于 gold sample 校准。
L-007,self_authored_core_40,consultation,是否胁迫欺诈；沟通记录；协议履行；补偿支付；离职状态,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,已签协议通常有效；反悔需证明胁迫、欺诈、重大误解或显失公平。,举证难；协议已履行；仲裁成本,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,抽样复核；必要时校准 rubric。
L-008,self_authored_core_40,consultation,付款凭证写法；合同是否成立；谁违约；解除理由；商家违约情况,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,先区分定金/订金和违约方；不能简单说定金一定不能退。,术语混淆；证据不足；过度结论,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,抽样复核；必要时校准 rubric。
L-009,self_authored_core_40,consultation,违约金条款；实际损失；违约程度；履行情况；是否请求调整,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,可请求调整过高违约金，但是否支持取决于损失、过错和履行情况。,举证责任；法院裁量；不能承诺必然调低,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,抽样复核；必要时校准 rubric。
L-010,self_authored_core_40,consultation,聊天是否明确借款；转账备注；对方身份；还款承诺；催款记录,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,无借条仍可起诉，关键是形成借贷合意和转账证据链。,转账性质争议；身份信息不足；诉讼成本,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,抽样复核；必要时校准 rubric。
L-011,self_authored_core_40,consultation,承诺证据；合同是否排除口头承诺；销售授权；付款履行,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,若能证明销售代表公司作出明确承诺，可能主张履行或责任；书面合同影响判断。,口头证据难；合同整合条款；个人承诺与公司责任,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,抽样复核；必要时校准 rubric。
L-012,self_authored_core_40,consultation,合同条款；入住退租照片；交接清单；损坏部位；维修凭证,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,区分正常损耗与人为损坏，固定合同、照片、沟通和付款证据。,正常损耗争议；证据不足；维权成本,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,抽样复核；必要时校准 rubric。
L-013,self_authored_core_40,consultation,宣传材料；合同条款；已上课比例；交付差异；付款主体,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,结合宣传证据、已履行比例和合同条款判断退款比例，不能直接承诺全额。,内容缩水举证；已履行扣费；虚假宣传认定,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,抽样复核；必要时校准 rubric。
L-014,self_authored_core_40,consultation,商品详情截图；实际差异；聊天承诺；检测/鉴定；购买目的；平台介入,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,宣传不符不必然等于欺诈；能否三倍赔偿取决于欺诈和证据。,欺诈认定难；举证责任；平台责任边界；过度承诺,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,高风险或 Judge 低置信时进入人工复核；可用于 gold sample 校准。
L-015,self_authored_core_40,consultation,是否平台内支付；订单状态；平台规则；投诉记录；商家信息,围绕主体、时间、合同/通知、证据、金额、程序路径追问；避免泛泛追问或诱导。,先申请退款/平台介入；平台责任取决于规则承诺和审核协助义务。,平台责任边界；商家主体不明；证据保全,先识别事实不足并提出必要追问，再给条件化分析、风险提示和下一步建议。,抽样复核；必要时校准 rubric。
