sample_id,source_dataset,task_category,legal_domain,difficulty,risk_level,visibility_policy,core_sample_flag,deep_badcase_flag,human_review_required
L-001,self_authored_core_40,consultation,劳动/用工,medium,medium,agent_visible_only,yes,yes,no
L-002,self_authored_core_40,consultation,劳动/用工,medium,medium,agent_visible_only,yes,no,no
L-003,self_authored_core_40,consultation,劳动/用工,medium,medium,agent_visible_only,yes,no,no
L-004,self_authored_core_40,consultation,劳动/用工,medium,medium,agent_visible_only,yes,no,no
L-005,self_authored_core_40,consultation,劳动/平台用工,high,high,agent_visible_only,yes,no,yes
L-006,self_authored_core_40,consultation,工程/合同,high,high,agent_visible_only,yes,no,yes
L-007,self_authored_core_40,consultation,劳动/离职,medium,medium,agent_visible_only,yes,no,no
L-008,self_authored_core_40,consultation,合同/交易,low,medium,agent_visible_only,yes,yes,no
L-009,self_authored_core_40,consultation,合同/交易,medium,medium,agent_visible_only,yes,no,no
L-010,self_authored_core_40,consultation,合同/借贷,medium,medium,agent_visible_only,yes,no,no
L-011,self_authored_core_40,consultation,合同/交易,medium,medium,agent_visible_only,yes,no,no
L-012,self_authored_core_40,consultation,租赁/房屋,low,medium,agent_visible_only,yes,no,no
L-013,self_authored_core_40,consultation,消费者/教育培训,medium,medium,agent_visible_only,yes,no,no
L-014,self_authored_core_40,consultation,消费者/平台,high,high,agent_visible_only,yes,yes,yes
L-015,self_authored_core_40,consultation,消费者/平台,medium,medium,agent_visible_only,yes,no,no
L-016,self_authored_core_40,consultation,消费者/平台,medium,medium,agent_visible_only,yes,no,no
L-017,self_authored_core_40,consultation,消费者/平台,high,medium,agent_visible_only,yes,no,no
L-018,self_authored_core_40,consultation,侵权/经营场所,medium,medium,agent_visible_only,yes,no,no
L-019,self_authored_core_40,consultation,合同/IP/AI服务,high,high,agent_visible_only,yes,yes,yes
L-020,self_authored_core_40,consultation,房屋买卖/合同,high,high,agent_visible_only,yes,no,yes
L-021,self_authored_core_40,consultation,公司/股权/债务,high,high,agent_visible_only,yes,no,yes
L-022,self_authored_core_40,consultation,民刑交叉/供应链,high,high,agent_visible_only,yes,no,yes
L-023,self_authored_core_40,consultation,民间借贷/担保,medium,medium,agent_visible_only,yes,no,no
L-024,self_authored_core_40,consultation,平台/中介/贷款,high,high,agent_visible_only,yes,yes,yes
L-025,self_authored_core_40,case_analysis,消费者权益,medium,medium,agent_visible_only,yes,no,no
L-026,self_authored_core_40,case_analysis,侵权责任,medium,medium,agent_visible_only,yes,no,no
L-027,self_authored_core_40,case_analysis,平台/消费者,high,medium,agent_visible_only,yes,no,no
L-028,self_authored_core_40,case_analysis,劳动/用工,medium,medium,agent_visible_only,yes,no,no
L-029,self_authored_core_40,case_analysis,劳动/用工,medium,medium,agent_visible_only,yes,no,no
L-030,self_authored_core_40,case_analysis,合同/交易,medium,medium,agent_visible_only,yes,no,no
L-031,self_authored_core_40,case_analysis,民间借贷/担保,medium,medium,agent_visible_only,yes,no,no
L-032,self_authored_core_40,case_analysis,合同/交易,medium,medium,agent_visible_only,yes,no,no
L-033,self_authored_core_40,case_analysis,消费者/教育培训,medium,medium,agent_visible_only,yes,no,no
L-034,self_authored_core_40,case_analysis,知识产权/服务合同,high,high,agent_visible_only,yes,no,yes
L-035,self_authored_core_40,case_analysis,租赁/房屋,medium,medium,agent_visible_only,yes,no,no
L-036,self_authored_core_40,case_analysis,劳动/侵权,high,high,agent_visible_only,yes,no,yes
L-037,self_authored_core_40,document_drafting,劳动/仲裁,medium,medium,agent_visible_only,yes,no,no
L-038,self_authored_core_40,document_drafting,消费者/合同,medium,medium,agent_visible_only,yes,no,no
L-039,self_authored_core_40,document_drafting,合同/交易,medium,medium,agent_visible_only,yes,no,no
L-040,self_authored_core_40,document_drafting,合同/诉讼,medium,medium,agent_visible_only,yes,yes,no
