sample_id,source_dataset,task_category,rubric_id,rubric_dimension,atomic_rubric_item,max_score,scoring_rule_2,scoring_rule_1,scoring_rule_0,criticality,negative_rule
L-001,self_authored_core_40,consultation,L-001-R01,Missing Facts Awareness,是否识别回答前必须补充的关键事实，而不是直接下结论。,2,覆盖主要缺失事实,只笼统说信息不足,未识别事实不足或直接结论,high,premature_conclusion
L-001,self_authored_core_40,consultation,L-001-R02,Clarification Quality,追问是否具体、必要、不过量。,2,追问覆盖主体、证据、时间、程序等关键点,追问有方向但遗漏关键点,追问泛泛、无关或诱导,medium,generic_questions
L-001,self_authored_core_40,consultation,L-001-R03,Conditional Reasoning,是否基于不同事实条件给出条件化分析。,2,清楚给出若/则式分析,有条件化但不完整,武断承诺结果,high,overclaim
L-001,self_authored_core_40,consultation,L-001-R04,Risk Coverage,是否提示证据、时效、管辖、程序或人审风险。,2,覆盖主要风险点,仅提示部分风险,缺少风险提示,high,missing_evidence_warning
L-001,self_authored_core_40,consultation,L-001-R05,Hallucination & Overclaim Control,是否避免虚构法条、案例、机构流程和过度承诺。,2,无虚构且语气克制,无明显虚构但略绝对,虚构依据或过度承诺,high,fabricated_citation_or_overclaim
L-002,self_authored_core_40,consultation,L-002-R01,Missing Facts Awareness,是否识别回答前必须补充的关键事实，而不是直接下结论。,2,覆盖主要缺失事实,只笼统说信息不足,未识别事实不足或直接结论,high,premature_conclusion
L-002,self_authored_core_40,consultation,L-002-R02,Clarification Quality,追问是否具体、必要、不过量。,2,追问覆盖主体、证据、时间、程序等关键点,追问有方向但遗漏关键点,追问泛泛、无关或诱导,medium,generic_questions
L-002,self_authored_core_40,consultation,L-002-R03,Conditional Reasoning,是否基于不同事实条件给出条件化分析。,2,清楚给出若/则式分析,有条件化但不完整,武断承诺结果,high,overclaim
L-002,self_authored_core_40,consultation,L-002-R04,Risk Coverage,是否提示证据、时效、管辖、程序或人审风险。,2,覆盖主要风险点,仅提示部分风险,缺少风险提示,high,missing_evidence_warning
L-002,self_authored_core_40,consultation,L-002-R05,Hallucination & Overclaim Control,是否避免虚构法条、案例、机构流程和过度承诺。,2,无虚构且语气克制,无明显虚构但略绝对,虚构依据或过度承诺,high,fabricated_citation_or_overclaim
L-003,self_authored_core_40,consultation,L-003-R01,Missing Facts Awareness,是否识别回答前必须补充的关键事实，而不是直接下结论。,2,覆盖主要缺失事实,只笼统说信息不足,未识别事实不足或直接结论,high,premature_conclusion
L-003,self_authored_core_40,consultation,L-003-R02,Clarification Quality,追问是否具体、必要、不过量。,2,追问覆盖主体、证据、时间、程序等关键点,追问有方向但遗漏关键点,追问泛泛、无关或诱导,medium,generic_questions
L-003,self_authored_core_40,consultation,L-003-R03,Conditional Reasoning,是否基于不同事实条件给出条件化分析。,2,清楚给出若/则式分析,有条件化但不完整,武断承诺结果,high,overclaim
L-003,self_authored_core_40,consultation,L-003-R04,Risk Coverage,是否提示证据、时效、管辖、程序或人审风险。,2,覆盖主要风险点,仅提示部分风险,缺少风险提示,high,missing_evidence_warning
